行政區別,村里別,第7案,第8案,第9案,第10案,第11案,第12案,第13案,第14案,第15案,第16案
　板橋區,僑中里,0.743443014,0.744761905,0.762244413,0.691542289,0.653478854,0.584594223,0.518077803,0.363890181,0.383186252,0.585507246
　板橋區,大觀里,0.735026042,0.739043825,0.792207792,0.680236376,0.660901791,0.623841878,0.501506932,0.29139923,0.437303088,0.588477366
　板橋區,歡園里,0.749552773,0.755514706,0.772563177,0.739413681,0.67384106,0.588135593,0.52970297,0.316498316,0.312396694,0.585106383
　板橋區,中山里,0.797949735,0.758644068,0.777480789,0.71655545,0.669450691,0.598405104,0.458830924,0.340931293,0.345365854,0.598608696
　板橋區,復興里,0.74715262,0.730232558,0.754545455,0.731019523,0.602298851,0.572706935,0.50896861,0.373033708,0.379069767,0.570048309
　板橋區,大安里,0.766283525,0.746111111,0.764135703,0.718921618,0.663979849,0.609768638,0.467997952,0.336633663,0.345151199,0.568232662
　板橋區,福安里,0.775631501,0.770927318,0.786101528,0.707998107,0.675059382,0.606853879,0.438090737,0.328820116,0.33044733,0.580366226
　板橋區,聚安里,0.765068192,0.749777778,0.769230769,0.713298089,0.664100486,0.600491199,0.516886326,0.359243697,0.371199324,0.574666667
　板橋區,龍安里,0.79296875,0.759873618,0.777165354,0.731019523,0.696571845,0.631732169,0.504005827,0.341281669,0.345399698,0.543581616
　板橋區,崑崙里,0.780024661,0.758217131,0.781120078,0.696796339,0.679109835,0.581924883,0.462220149,0.360180565,0.374639769,0.585408367
　板橋區,成和里,0.80459307,0.774297189,0.795333606,0.69939577,0.667179684,0.680754717,0.449220236,0.342498036,0.359502526,0.597979798
　板橋區,溪洲里,0.78446523,0.768092105,0.788515973,0.710318949,0.649265275,0.59607399,0.497348485,0.345693318,0.353488372,0.536149163
　板橋區,溪福里,0.799400699,0.766026186,0.797973194,0.702924165,0.659825469,0.609256572,0.455427924,0.337681396,0.353908795,0.604280822
　板橋區,溪北里,0.772808587,0.746835443,0.770238095,0.586738628,0.68504772,0.600568182,0.502312139,0.349355217,0.365553603,0.587954681
　板橋區,堂春里,0.758733624,0.738655003,0.743410436,0.697650664,0.631632653,0.595789474,0.493877551,0.376377953,0.379746835,0.56551333
　三重區,,0.764713958,0.740156002,0.757280916,0.692069013,0.642715003,0.585854059,0.505757639,0.363124031,0.375506592,0.571181331
　三重區,大有里,0.772874494,0.744243421,0.755564549,0.686060133,0.632421875,0.565763644,0.506589147,0.348171701,0.376628504,0.584507042
　三重區,博愛里,0.759981851,0.735442458,0.741026806,0.703672075,0.658878505,0.615945135,0.503017241,0.344721857,0.366843034,0.582417582
　三重區,二重里,0.793103448,0.762580645,0.750318471,0.70320197,0.633333333,0.570731707,0.478960396,0.330798479,0.360799001,0.593506494
　三重區,頂崁里,0.75331565,0.711640212,0.749113475,0.72102649,0.651046025,0.563667233,0.559293524,0.334491746,0.356715141,0.534296029
　三重區,谷王里,0.78685259,0.75249501,0.725806452,0.680890538,0.647058824,0.586466165,0.538752363,0.398809524,0.384765625,0.564154786
　三重區,五谷里,0.740350877,0.699052133,0.727061556,0.714128035,0.631813126,0.571103527,0.534557235,0.353146853,0.365825688,0.552505967
　三重區,中興里,0.742873764,0.70877193,0.752893519,0.680309735,0.620288248,0.597455176,0.548997773,0.423098914,0.393652561,0.533451747
　三重區,德厚里,0.797927461,0.726315789,0.737113402,0.685446009,0.627906977,0.547169811,0.609649123,0.359223301,0.43,0.564766839
　三重區,成功里,0.759176672,0.804332875,0.751689189,0.671192053,0.63060686,0.580911493,0.46286085,0.361680672,0.374625375,0.594566353
　三重區,福祉里,0.752573389,0.736882716,0.75913813,0.673187572,0.656048676,0.593656716,0.502894635,0.362542309,0.385193536,0.573038073
　三重區,福德里,0.765266106,0.745309835,0.777901786,0.639040349,0.67368962,0.582327113,0.473544974,0.356830601,0.369541485,0.55819209
　三重區,福民里,0.768569675,0.756022236,0.763914373,0.709620991,0.657041839,0.616983373,0.504683841,0.349244713,0.364298725,0.5839599
　三重區,過田里,0.748049415,0.74180602,0.757990868,0.684394904,0.648130393,0.587032897,0.46991404,0.355533466,0.401360544,0.554336989
　三重區,錦田里,0.768762677,0.724667349,0.743512974,0.685468451,0.623202301,0.58647343,0.523719165,0.370841487,0.383709519,0.582909461
　三重區,重明里,0.772277228,0.735516373,0.749378109,0.695499708,0.661712247,0.647727273,0.473219541,0.363359708,0.459987783,0.590391909
　三重區,光田里,0.74476013,0.732354334,0.753602975,0.690917108,0.632275132,0.592245989,0.490892936,0.363348416,0.385759351,0.551196172
　三重區,光陽里,0.78162407,0.744193654,0.770686337,0.680955297,0.642835226,0.592387968,0.483492749,0.365671642,0.380237649,0.580498866
　三重區,田心里,0.744741874,0.760364004,0.74939759,0.702479339,0.593018118,0.578725398,0.503489995,0.364022663,0.367239733,0.571077226
　三重區,福田里,0.750419698,0.727995457,0.748593926,0.697587131,0.63490364,0.595169638,0.520615723,0.368910783,0.387978142,0.567121729
　三重區,田中里,0.7647854,0.739339752,0.762942779,0.654372019,0.651028278,0.603231018,0.523840206,0.374136229,0.383624959,0.556975138
　三重區,田安里,0.765356734,0.739014138,0.761669829,0.690691778,0.629266521,0.587845304,0.492790195,0.386942088,0.362665685,0.564954683
　三重區,三民里,0.766145479,0.758970887,0.752724796,0.688131313,0.621552277,0.580100125,0.502522068,0.380707395,0.441482445,0.59383378
　三重區,光明里,0.77089508,0.745965332,0.783575452,0.675007108,0.625928041,0.58605852,0.498748957,0.374389894,0.383884892,0.574063232
　三重區,光正里,0.77640264,0.741322314,0.754545455,0.662974684,0.646730463,0.590544872,0.470634921,0.392568659,0.394991922,0.564448189
　三重區,同安里,0.770940171,0.74611399,0.766723842,0.736,0.664495114,0.585760518,0.494363929,0.306397306,0.32160804,0.587301587
　三重區,同慶里,0.746549561,0.742749054,0.848275862,0.65380117,0.612293144,0.573563218,0.472385429,0.373522459,0.398584906,0.589108911
　三重區,菜寮里,0.756272401,0.738812785,0.750445633,0.703071672,0.63869863,0.574614065,0.457627119,0.503896104,0.348432056,0.583646617
　三重區,永春里,0.777777778,0.733333333,0.742966752,0.689448441,0.624096386,0.593446602,0.475903614,0.36621455,0.375912409,0.571611253
　三重區,中正里,0.751950078,0.744514107,0.760252366,0.665676077,0.643067847,0.603550296,0.514662757,0.405487805,0.383107089,0.569131833
　三重區,吉利里,0.735127479,0.732091691,0.769338959,0.719321149,0.669786096,0.603748327,0.511348465,0.34811828,0.338294993,0.612391931
　三重區,大同里,0.741898148,0.744483159,0.741637832,0.66702938,0.647702407,0.584257206,0.48531012,0.392307692,0.405764967,0.555813953
　三重區,中民里,0.718644068,0.737201365,0.744500846,0.714285714,0.667197452,0.620689655,0.492063492,0.349258649,0.346341463,0.571428571
　三重區,平和里,0.790551181,0.752845528,0.73968254,0.568656716,0.627245509,0.572072072,0.514328808,0.644042232,0.641768293,0.586092715
　三重區,大安里,0.773722628,0.73042362,0.74872449,0.702075702,0.657248157,0.604218362,0.49568434,0.354477612,0.381194409,0.567639257
　三重區,仁德里,0.769065521,0.728272827,0.755124056,0.703448276,0.658706468,0.583665339,0.540408958,0.372406639,0.383419689,0.577728776
　三重區,忠孝里,0.753694581,0.718078382,0.751552795,0.671746776,0.617577197,0.411071849,0.504819277,0.373626374,0.387332521,0.554545455
　三重區,仁義里,0.778175313,0.723756906,0.733096085,0.682593857,0.635416667,0.576388889,0.537931034,0.366666667,0.373897707,0.568555759
　三重區,光榮里,0.774091627,0.753554502,0.761829653,0.696165192,0.651515152,0.600299401,0.482334869,0.387878788,0.371601208,0.555377207
　三重區,光輝里,0.759547383,0.69527897,0.722689076,0.662354463,0.602864583,0.542372881,0.517601043,0.382352941,0.389542484,0.556348074
　三重區,福星里,0.75815739,0.744639376,0.735238095,0.646126761,0.593189964,0.559566787,0.502673797,0.420262664,0.426229508,0.58250497
　三重區,福利里,0.762931034,0.733624454,0.763450043,0.678929766,0.634745763,0.561120543,0.4639866,0.366581415,0.385920271,0.561061947
　三重區,清和里,0.761823362,0.721577726,0.73980471,0.664309032,0.62924425,0.593080725,0.484290358,0.371632765,0.392688679,0.580069124
　三重區,永興里,0.786069652,0.771043771,0.78583196,0.702290076,0.681335357,0.62804878,0.486196319,0.341194969,0.332298137,0.575856444
　三重區,中山里,0.739783153,0.723849372,0.754606365,0.66744186,0.610806578,0.600317209,0.497297297,0.397718011,0.402555911,0.575168919
　三重區,大園里,0.75124792,0.732606873,0.748366013,0.700389105,0.621979735,0.581889764,0.508907823,0.352605863,0.37669593,0.563296517
　三重區,國隆里,0.778097983,0.753846154,0.748373102,0.69820442,0.653793103,0.594689029,0.492350487,0.362984218,0.354225352,0.576383764
　三重區,重陽里,0.75528169,0.739570918,0.749116608,0.692696629,0.642777156,0.57642414,0.510985915,0.371757925,0.398734177,0.562200957
　三重區,民生里,0.738878143,0.708576998,0.737799043,0.709200185,0.639534884,0.571495327,0.539990754,0.364414843,0.390417457,0.540314651
　三重區,重新里,0.729559748,0.708399366,0.751552795,0.697329377,0.666206897,0.617302053,0.550960118,0.357466063,0.384615385,0.557844691
　三重區,正德里,0.76848249,0.762948207,0.769825919,0.728280961,0.672222222,0.588014981,0.490530303,0.331439394,0.319923372,0.614457831
　三重區,正義里,0.724550898,0.722981366,0.736406619,0.680924855,0.655452436,0.585365854,0.495963091,0.353701528,0.377068558,0.552147239
　三重區,正安里,0.780116959,0.741440378,0.757575758,0.692480359,0.64922049,0.590755355,0.472850679,0.3625,0.364155251,0.589156627
　三重區,自強里,0.785377358,0.737605804,0.745519713,0.697857948,0.629251701,0.570294785,0.504576659,0.362573099,0.37470726,0.621026895
　三重區,文化里,0.770940171,0.744186047,0.749569707,0.704453441,0.663688058,0.580750408,0.533279872,0.384406165,0.372923588,0.58041958
　三重區,中央里,0.74270557,0.719394773,0.721179625,0.694373402,0.637055838,0.558673469,0.517632242,0.345052083,0.380336352,0.552301255
　三重區,雙園里,0.761487965,0.707048458,0.785862786,0.723991507,0.668803419,0.574514039,0.522727273,0.358531317,0.37173913,0.557734205
　三重區,錦通里,0.756680731,0.735294118,0.754189944,0.692913386,0.642762284,0.607049608,0.527599487,0.356652949,0.379834254,0.56547619
　三重區,錦安里,0.743523316,0.722811671,0.748031496,0.698780488,0.658119658,0.596577017,0.50182704,0.343358396,0.344956413,0.583001328
　三重區,長安里,0.745711403,0.745341615,0.748230536,0.683495146,0.640535373,0.560903733,0.549808429,0.377470356,0.381835938,0.373529412
　三重區,光華里,0.769230769,0.739454094,0.753676471,0.699105145,0.648018648,0.572109654,0.492704826,0.362971985,0.360100376,0.561736771
　三重區,長生里,0.753026634,0.702380952,0.747596154,0.670378619,0.583524027,0.537757437,0.536199095,0.369158879,0.387096774,0.552058111
　三重區,開元里,0.759036145,0.733243968,0.789343247,0.676470588,0.646153846,0.621156212,0.487836108,0.352864583,0.370801034,0.560053981
　三重區,大德里,0.791762014,0.74941452,0.770642202,0.689507495,0.634782609,0.554824561,0.516129032,0.369127517,0.377232143,0.561445783
　三重區,長元里,0.767241379,0.742369838,0.73511648,0.705691057,0.644945698,0.584166667,0.525080906,0.376712329,0.397794741,0.560578662
　三重區,長江里,0.78953108,0.781938326,0.790979098,0.692963753,0.647121535,0.576180258,0.496842105,0.352432432,0.368306011,0.637168142
　三重區,長泰里,0.762386249,0.719206681,0.732124874,0.717287488,0.660869565,0.607385811,0.498550725,0.346041056,0.357569721,0.56581741
　三重區,長福里,0.739849624,0.712556732,0.730421687,0.695839311,0.64,0.580599144,0.508426966,0.350877193,0.383381924,0.549844237
